Name,GUID,ReportName,Title,YearOfPublication,LinkingUri,LinkingUrl,ServerRelativeUrl,ServerRedirectedEmbedUri,ServerRedirectedEmbedUrl,Created,Length
DES_29_Do Son 1X_240909.pdf,1edffd5b-71ff-4da3-898a-b1a2ff36695d,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_29_Do Son 1X_240909.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=a723eb28-5c0c-4211-be65-6ce1187d9cbf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=a723eb28-5c0c-4211-be65-6ce1187d9cbf,2024-02-01T08:51:07,18595
DES_27_Do Son 1X_220909.pdf,a4dae28c-0a6e-4ecc-ae04-aada169c3ec9,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_27_Do Son 1X_220909.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=7390aa7f-fa94-4573-a20d-b4b7a27bad8c,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=7390aa7f-fa94-4573-a20d-b4b7a27bad8c,2024-02-01T08:51:07,18513
DES_31_Do Son 1X_260909.pdf,df0dc87a-b264-432a-b2fb-79be6c7e1fb0,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_31_Do Son 1X_260909.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=565758fc-f0a8-4fd3-88b0-8e1c9ba753d5,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=565758fc-f0a8-4fd3-88b0-8e1c9ba753d5,2024-02-01T08:51:07,29157
DES_30_Do Son 1X_250909.pdf,e7481652-ec32-4097-9a2d-9fbcd334fbb0,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_30_Do Son 1X_250909.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=4d09179d-7407-4c75-8ee4-24e2208d5c0c,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=4d09179d-7407-4c75-8ee4-24e2208d5c0c,2024-02-01T08:51:07,18656
DES_32_Do Son 1X_270909.pdf,88668595-147e-418d-a37f-b777c481513c,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_32_Do Son 1X_270909.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=405e8a1d-bae6-44af-8349-05684f82337b,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=405e8a1d-bae6-44af-8349-05684f82337b,2024-02-01T08:51:08,29141
DES_34_Do Son 1X_290909.pdf,c1064290-c310-4818-b3e1-0766b5b1d852,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_34_Do Son 1X_290909.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=bb5b5b99-fcea-4819-84e8-ee91460031ca,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=bb5b5b99-fcea-4819-84e8-ee91460031ca,2024-02-01T08:51:09,18330
DES_33_Do Son 1X_280909.pdf,5e60b689-6ac5-4857-97d4-93e6b36e43f1,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_33_Do Son 1X_280909.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=bbd2671a-63ec-4880-9cf6-ca6b6307ca60,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=bbd2671a-63ec-4880-9cf6-ca6b6307ca60,2024-02-01T08:51:09,29115
DES_35_Do Son 1X_300909.pdf,3adaa1cf-47f0-4582-9316-fcf34f8f3367,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_35_Do Son 1X_300909.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=4c854e63-77fb-484d-9b8c-cc8c42ba17d4,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=4c854e63-77fb-484d-9b8c-cc8c42ba17d4,2024-02-01T08:51:08,18500
DES_36_Do Son 1X_011009.pdf,db6850ea-b77f-4497-a4d6-eda9198b8a1a,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_36_Do Son 1X_011009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=4a91755c-56e1-4094-8eac-e16ee9e96718,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=4a91755c-56e1-4094-8eac-e16ee9e96718,2024-02-01T08:51:09,18507
DES_37_Do Son 1X_021009.pdf,91b2d3a0-99fd-408a-8cbf-3dd422240ca0,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_37_Do Son 1X_021009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=6088ac75-57cc-4bc9-bced-a33107cca502,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=6088ac75-57cc-4bc9-bced-a33107cca502,2024-02-01T08:51:09,18652
DES_39_Do Son 1X_041009.pdf,599ce598-951f-4734-86d3-73241413defa,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_39_Do Son 1X_041009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=fc89b215-4585-42cd-a097-89deee05668e,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=fc89b215-4585-42cd-a097-89deee05668e,2024-02-01T08:51:09,35442
DES_38_Do Son 1X_031009.pdf,3cd72e97-c796-4fe3-9427-c72cb283841f,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_38_Do Son 1X_031009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=2f5e4afb-0852-46d3-93a1-0d25ac5a356e,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=2f5e4afb-0852-46d3-93a1-0d25ac5a356e,2024-02-01T08:51:09,35356
DES_40_Do Son 1X_051009.pdf,cdcb93a4-480a-41d2-8352-61f555a33216,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_40_Do Son 1X_051009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=b1ba5faf-80e3-4d8a-acb5-4219b483d4c6,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=b1ba5faf-80e3-4d8a-acb5-4219b483d4c6,2024-02-01T08:51:09,35372
DES_41_Do Son 1X_061009.pdf,a08b6d1a-494e-4f75-8e6e-5c766d8ac3ca,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_41_Do Son 1X_061009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=3f0401c4-bd55-46a8-8f2f-586ec082f05d,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=3f0401c4-bd55-46a8-8f2f-586ec082f05d,2024-02-01T08:51:10,18734
DES_43_Do Son 1X_081009.pdf,2d419576-9a04-4e1e-9ef4-65f6c64e2553,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_43_Do Son 1X_081009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=8cceb196-36e4-412d-89f8-a6e2d72c987d,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=8cceb196-36e4-412d-89f8-a6e2d72c987d,2024-02-01T08:51:10,18754
DES_42_Do Son 1X_071009.pdf,2b503356-1cb5-4c43-ba5b-a26d35b34e84,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_42_Do Son 1X_071009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=78cddb1d-9d86-4d93-bfa4-88f1b3c09952,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=78cddb1d-9d86-4d93-bfa4-88f1b3c09952,2024-02-01T08:51:10,18689
DES_44_Do Son 1X_091009.pdf,2ec34ebe-7335-44d7-91ef-7e620544fc8a,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_44_Do Son 1X_091009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=7e386b8c-43aa-4339-bed1-5b4a3d2a75f6,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=7e386b8c-43aa-4339-bed1-5b4a3d2a75f6,2024-02-01T08:51:10,18678
DES_46_Do Son 1X_111009.pdf,b04c2168-68a6-42ea-b2de-a7965e862222,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_46_Do Son 1X_111009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=b4ed7672-91db-4fb8-82f7-b26e21e83397,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=b4ed7672-91db-4fb8-82f7-b26e21e83397,2024-02-01T08:51:10,35687
DES_45_Do Son 1X_101009.pdf,f4134ffb-052a-4123-914d-a433b2f86fd9,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_45_Do Son 1X_101009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=70e939b8-db50-4dd8-84ab-ebde9b9e9b28,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=70e939b8-db50-4dd8-84ab-ebde9b9e9b28,2024-02-01T08:51:10,35638
DES_47_Do Son 1X_121009.pdf,d994dffd-8d7d-4e2b-a2ed-33d052807026,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_47_Do Son 1X_121009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=96a2fae4-6666-4751-a5c2-ea8d6a01aeaa,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=96a2fae4-6666-4751-a5c2-ea8d6a01aeaa,2024-02-01T08:51:11,18650
DES_48_Do Son 1X_131009.pdf,d4f9b5fd-6ef5-4aee-ae8f-f0d9b7d19968,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_48_Do Son 1X_131009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=476d776d-2c27-4b5d-8a2f-878bd66d7e24,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=476d776d-2c27-4b5d-8a2f-878bd66d7e24,2024-02-01T08:51:11,18859
DES_49_Do Son 1X_141009.pdf,747feb20-a0af-46b4-8a2f-52caf418befa,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_49_Do Son 1X_141009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=dfa6e914-7e84-4ad5-b64e-44d17111d704,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=dfa6e914-7e84-4ad5-b64e-44d17111d704,2024-02-01T08:51:11,18666
DES_50_Do Son 1X_151009.pdf,355f51ce-cb69-4a64-9931-ea4ed6cacb59,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_50_Do Son 1X_151009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=320baffd-0ad8-4bd0-95f0-71f1e4ae4c45,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=320baffd-0ad8-4bd0-95f0-71f1e4ae4c45,2024-02-01T08:51:12,18706
DES_51_Do Son 1X_161009.pdf,c37c1358-0599-495f-9efb-f3e112daf664,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_51_Do Son 1X_161009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=25419505-6012-4b2c-a21c-bb08466eae16,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=25419505-6012-4b2c-a21c-bb08466eae16,2024-02-01T08:51:12,19115
DES_52_Do Son 1X_171009.pdf,e0d40033-d272-4f43-b6a8-86218ad9408c,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_52_Do Son 1X_171009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=21e3fda9-5b75-40aa-b8a4-58f75450a808,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=21e3fda9-5b75-40aa-b8a4-58f75450a808,2024-02-01T08:51:13,36010
DES_53_Do Son 1X_181009.pdf,3e1727ec-a2b8-41d1-84a4-ad185c4f24f3,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_53_Do Son 1X_181009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=efb20517-4ac0-4199-8856-00749e95c5c5,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=efb20517-4ac0-4199-8856-00749e95c5c5,2024-02-01T08:51:12,35789
DES_54_Do Son 1X_191009.pdf,9a4ed675-7ae5-4256-b0b3-0cf984462a63,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_54_Do Son 1X_191009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=f27b8774-bd11-4523-aa3b-9d351d49fc8f,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=f27b8774-bd11-4523-aa3b-9d351d49fc8f,2024-02-01T08:51:12,29304
DES_55_Do Son 1X_201009.pdf,c8decc50-6acd-4410-b017-7e2908ee79d9,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_55_Do Son 1X_201009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=11bf8a3a-f581-4d05-9a14-2d8c809d19d1,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=11bf8a3a-f581-4d05-9a14-2d8c809d19d1,2024-02-01T08:51:12,18989
DES_56_Do Son 1X_211009.pdf,a40fd828-e925-4e60-af37-2b6c344747c0,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_56_Do Son 1X_211009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=bc45bb77-3943-4b9b-84f6-6dfae44f15e2,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=bc45bb77-3943-4b9b-84f6-6dfae44f15e2,2024-02-01T08:51:13,19077
DES_58_Do Son 1X_231009.pdf,7c098ed4-131b-48f3-897e-0d6177e4e17b,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_58_Do Son 1X_231009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=ecb5e6bb-3081-4726-8c4d-e91e265f7869,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=ecb5e6bb-3081-4726-8c4d-e91e265f7869,2024-02-01T08:51:13,19000
DES_57_Do Son 1X_221009.pdf,34ddaa5d-203c-48c3-a30f-4b6407d2822b,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_57_Do Son 1X_221009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=1143ce3d-e13f-42e8-9c4b-5661de0b792e,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=1143ce3d-e13f-42e8-9c4b-5661de0b792e,2024-02-01T08:51:13,19039
DES_59_Do Son 1X_251009.pdf,3b1fcd0b-9198-430b-b36d-801e404e5dbb,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_59_Do Son 1X_251009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=61107fd8-6c66-48bf-ac40-050eb7cbd217,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=61107fd8-6c66-48bf-ac40-050eb7cbd217,2024-02-01T08:51:14,36284
DES_62_Do Son 1X_271009.pdf,80a468e5-5073-4769-b459-8dd405148c68,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_62_Do Son 1X_271009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=d25d2e2b-c3f6-4ef9-84b6-3bcf3cae8907,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=d25d2e2b-c3f6-4ef9-84b6-3bcf3cae8907,2024-02-01T08:51:14,19139
DES_61_Do Son 1X_261009.pdf,1106fdb1-4464-469d-a156-7546e54a41d8,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_61_Do Son 1X_261009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=9e683641-3bd7-43d3-a4cd-550dcef18e6a,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=9e683641-3bd7-43d3-a4cd-550dcef18e6a,2024-02-01T08:51:14,19145
DES_65_Do Son 1X_301009.pdf,74b5f5ac-e9a0-415c-a4d5-a729c354e81c,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_65_Do Son 1X_301009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=d2b70d80-99b6-4655-9506-cee90e7c120f,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=d2b70d80-99b6-4655-9506-cee90e7c120f,2024-02-01T08:51:15,19012
DES_64_Do Son 1X_291009.pdf,e4c52cb7-51bc-4236-85e2-fe726e5c7a61,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_64_Do Son 1X_291009.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=e49754ea-b148-4882-921f-879dbe78b428,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=e49754ea-b148-4882-921f-879dbe78b428,2024-02-01T08:51:14,19130
DES_70_Do Son 1X_041109.pdf,836f0bbb-38e3-4674-a183-fd741df45ab9,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_70_Do Son 1X_041109.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=522b5863-5d9a-4bf7-b023-8bdb3a65ec14,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=522b5863-5d9a-4bf7-b023-8bdb3a65ec14,2024-02-01T08:51:15,19028
DES_69_Do Son 1X_031109.pdf,f603f76b-d972-4de2-bc23-51a4942179e2,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_69_Do Son 1X_031109.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=d1577c32-d481-4890-bded-e9783bd5af6e,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=d1577c32-d481-4890-bded-e9783bd5af6e,2024-02-01T08:51:15,19016
DES_67_Do Son 1X_011109.pdf,c70c1b67-7118-4748-bf66-2d612ebef426,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_67_Do Son 1X_011109.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=f44c67d5-046e-46ed-982c-25a05b587131,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=f44c67d5-046e-46ed-982c-25a05b587131,2024-02-01T08:51:15,35747
DES_72_Do Son 1X_061109.pdf,ea1316a8-9bd8-48b8-b8b2-fd4b651af7d9,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_72_Do Son 1X_061109.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=e974e10b-7f52-4227-8a44-3334e8b39db9,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=e974e10b-7f52-4227-8a44-3334e8b39db9,2024-02-01T08:51:16,18945
DES_73_Do Son 1X_071109.pdf,826ef1c6-4241-4598-b58c-11849484bc7e,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_73_Do Son 1X_071109.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=b7e34f8b-5cf1-4d37-ad40-b63867e0c92d,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=b7e34f8b-5cf1-4d37-ad40-b63867e0c92d,2024-02-01T08:51:16,18954
DES_71_Do Son 1X_051109.pdf,df4d191a-0c8b-4147-a202-0f3eb25939e0,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_71_Do Son 1X_051109.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=da678936-8b12-4244-9e0b-1a88a2d5d123,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=da678936-8b12-4244-9e0b-1a88a2d5d123,2024-02-01T08:51:16,18954
DES_74_Do Son 1X_081109.pdf,07c3dc64-d278-4a88-b686-b9e820c16dd0,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_74_Do Son 1X_081109.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=9a874535-9bf6-4ace-a02c-7d807fb820f4,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=9a874535-9bf6-4ace-a02c-7d807fb820f4,2024-02-01T08:51:17,20777
DES_76_Do Son 1X_101109.pdf,d0ead960-0b9b-4159-b953-a5b4bab459c7,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_76_Do Son 1X_101109.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=a8e48159-5278-4a62-b62f-7a97f6fb847f,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=a8e48159-5278-4a62-b62f-7a97f6fb847f,2024-02-01T08:51:17,19136
DES_75_Do Son 1X_091109.pdf,c64219fb-8611-4e81-b789-dc614e9d4e17,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/106-DS-1X/106-DS-1X Daily Report/DES/DES_75_Do Son 1X_091109.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=e2af4a37-2156-4efc-b595-58eac3ab7b4d,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=e2af4a37-2156-4efc-b595-58eac3ab7b4d,2024-02-01T08:51:17,22724
